id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
5EOoMWIB9iK4ZpcSex9Ec7,0.714,0.937,-2.947,0.0399,0.206,0.0,0.0731,0.964,124.13,194147,5
2LawezPeJhN4AWuSB0GtAU,0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,5
4cMHCRLPNoEbpnl2rz6GS9,0.598,0.901,-6.081,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,5
4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
2K2M0TcglCRLLpFOzKeFZA,0.683,0.594,-8.289,0.0347,0.385,8.61e-05,0.121,0.734,115.099,250400,1
08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
7Jh1bpe76CNTCgdgAdBw4Z,0.489,0.758,-6.491,0.0297,0.000678,0.49,0.092,0.435,112.113,371413,4
6gXrEUzibufX9xYPk3HD5p,0.667,0.755,-7.246,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220,5
1GqlvSEtMx5xbGptxOTTyk,0.419,0.677,-6.183,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,303587,4
6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,-9.18,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467,10
5uvosCdMlFdTXhoazkTI5R,0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760,6
2kkvB3RNRzwjFdGhaUA0tz,0.404,0.902,-3.88,0.0665,0.577,0.297,0.287,0.497,115.669,423840,6
2Cdvbe2G4hZsnhNMKyGrie,0.535,0.716,-5.025,0.0431,0.326,0.0,0.659,0.901,94.379,175173,7
48UPSzbZjgc449aqz8bxox,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,9
4pbG9SUmWIvsROVLF0zF9s,0.49,0.715,-5.549,0.0476,0.386,0.0,0.311,0.866,130.726,145747,5
7e89621JPkKaeDSTQ3avtg,0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,1
5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
07GvNcU1WdyZJq3XxP0kZa,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,5
